"","region","name","value"
"1","E","X1",0.0195706358907172
"2","E","X2",0.0182364628398305
"3","E","X3",0.0153678239638047
"4","E","X4",0.0158066974909462
"5","E","X5",0.0151714598999938
"6","E","X7",0.0195883618369337
"7","E","X8",0.0144234197105354
"8","E","X1",0.0214837409098878
"9","E","X2",0.0176116564451966
"10","E","X3",0.0163397509093313
"11","E","X4",0.0154650175673998
"12","E","X5",0.0158287513663222
"13","E","X7",0.0179445982632058
"14","E","X8",0.0149349923336561
"15","E","X1",0.0339023014347478
"16","E","X2",0.024355077504975
"17","E","X3",0.0237298523349122
"18","E","X4",0.0187805529359401
"19","E","X5",0.0158390439270729
"20","E","X7",0.0172845170561972
"21","E","X8",0.0159714164603893
"22","E","X1",0.0195956931576742
"23","E","X2",0.0166359690568092
"24","E","X3",0.0157430323730184
"25","E","X4",0.0135735485917726
"26","E","X5",0.01565385461285
"27","E","X7",0.0150764960870475
"28","E","X8",0.0146580147549688
"29","E","X1",0.0242095291366547
"30","E","X2",0.0190102429928385
"31","E","X3",0.0159541852444566
"32","E","X4",0.0177359777139018
"33","E","X5",0.0157699468846603
"34","E","X7",0.0216420159732163
"35","E","X8",0.0187432207877861
"36","E","X1",0.0188645391902852
"37","E","X2",0.0183390602679433
"38","E","X3",0.0150220008675658
"39","E","X4",0.0134760436006178
"40","E","X5",0.0136564273255639
"41","E","X7",0.0182286991403881
"42","E","X8",0.0139605041588984
"43","E","X1",0.0213101192167047
"44","E","X2",0.0165297584815339
"45","E","X3",0.0198832474566753
"46","E","X4",0.0165348283125455
"47","E","X5",0.0134514060032244
"48","E","X7",0.0165312092336321
"49","E","X8",0.0135232144334755
"50","E","X1",0.0219806230719456
"51","E","X2",0.0192218305468327
"52","E","X3",0.0183442224663116
"53","E","X4",0.0165915757868169
"54","E","X5",0.0139215800302861
"55","E","X7",0.0183747536667223
"56","E","X8",0.0151071218452811
"57","E","X1",0.021131495218143
"58","E","X2",0.0197883949069637
"59","E","X3",0.0190729822390486
"60","E","X4",0.0166350320283731
"61","E","X5",0.0141188625724166
"62","E","X7",0.0232184697735676
"63","E","X8",0.0109012617739569
"64","EM","X1",0.0195706358907172
"65","EM","X2",0.0182364628398305
"66","EM","X3",0.0153678239638047
"67","EM","X4",0.0158066974909462
"68","EM","X5",0.0151714598999938
"69","EM","X7",0.0195883618369337
"70","EM","X8",0.0144234197105354
"71","EM","X1",0.0214837409098878
"72","EM","X2",0.0176116564451966
"73","EM","X3",0.0163397509093313
"74","EM","X4",0.0154650175673998
"75","EM","X5",0.0158287513663222
"76","EM","X7",0.0179445982632058
"77","EM","X8",0.0149349923336561
"78","EM","X1",0.0339023014347478
"79","EM","X2",0.024355077504975
"80","EM","X3",0.0237298523349122
"81","EM","X4",0.0187805529359401
"82","EM","X5",0.0158390439270729
"83","EM","X7",0.0172845170561972
"84","EM","X8",0.0159714164603893
"85","EM","X1",0.0195956931576742
"86","EM","X2",0.0166359690568092
"87","EM","X3",0.0157430323730184
"88","EM","X4",0.0135735485917726
"89","EM","X5",0.01565385461285
"90","EM","X7",0.0150764960870475
"91","EM","X8",0.0146580147549688
"92","EM","X1",0.0242095291366547
"93","EM","X2",0.0190102429928385
"94","EM","X3",0.0159541852444566
"95","EM","X4",0.0177359777139018
"96","EM","X5",0.0157699468846603
"97","EM","X7",0.0216420159732163
"98","EM","X8",0.0187432207877861
"99","EM","X1",0.0188645391902852
"100","EM","X2",0.0183390602679433
"101","EM","X3",0.0150220008675658
"102","EM","X4",0.0134760436006178
"103","EM","X5",0.0136564273255639
"104","EM","X7",0.0182286991403881
"105","EM","X8",0.0139605041588984
"106","EM","X1",0.0213101192167047
"107","EM","X2",0.0165297584815339
"108","EM","X3",0.0198832474566753
"109","EM","X4",0.0165348283125455
"110","EM","X5",0.0134514060032244
"111","EM","X7",0.0165312092336321
"112","EM","X8",0.0135232144334755
"113","EM","X1",0.0219806230719456
"114","EM","X2",0.0192218305468327
"115","EM","X3",0.0183442224663116
"116","EM","X4",0.0165915757868169
"117","EM","X5",0.0139215800302861
"118","EM","X7",0.0183747536667223
"119","EM","X8",0.0151071218452811
"120","EM","X1",0.021131495218143
"121","EM","X2",0.0197883949069637
"122","EM","X3",0.0190729822390486
"123","EM","X4",0.0166350320283731
"124","EM","X5",0.0141188625724166
"125","EM","X7",0.0232184697735676
"126","EM","X8",0.0109012617739569
"127","L","X1",0.0195706358907172
"128","L","X2",0.0182364628398305
"129","L","X3",0.0153678239638047
"130","L","X4",0.0158066974909462
"131","L","X5",0.0151714598999938
"132","L","X7",0.0195883618369337
"133","L","X8",0.0144234197105354
"134","L","X1",0.0214837409098878
"135","L","X2",0.0176116564451966
"136","L","X3",0.0163397509093313
"137","L","X4",0.0154650175673998
"138","L","X5",0.0158287513663222
"139","L","X7",0.0179445982632058
"140","L","X8",0.0149349923336561
"141","L","X1",0.0339023014347478
"142","L","X2",0.024355077504975
"143","L","X3",0.0237298523349122
"144","L","X4",0.0187805529359401
"145","L","X5",0.0158390439270729
"146","L","X7",0.0172845170561972
"147","L","X8",0.0159714164603893
"148","L","X1",0.0195956931576742
"149","L","X2",0.0166359690568092
"150","L","X3",0.0157430323730184
"151","L","X4",0.0135735485917726
"152","L","X5",0.01565385461285
"153","L","X7",0.0150764960870475
"154","L","X8",0.0146580147549688
"155","L","X1",0.0242095291366547
"156","L","X2",0.0190102429928385
"157","L","X3",0.0159541852444566
"158","L","X4",0.0177359777139018
"159","L","X5",0.0157699468846603
"160","L","X7",0.0216420159732163
"161","L","X8",0.0187432207877861
"162","L","X1",0.0188645391902852
"163","L","X2",0.0183390602679433
"164","L","X3",0.0150220008675658
"165","L","X4",0.0134760436006178
"166","L","X5",0.0136564273255639
"167","L","X7",0.0182286991403881
"168","L","X8",0.0139605041588984
"169","L","X1",0.0213101192167047
"170","L","X2",0.0165297584815339
"171","L","X3",0.0198832474566753
"172","L","X4",0.0165348283125455
"173","L","X5",0.0134514060032244
"174","L","X7",0.0165312092336321
"175","L","X8",0.0135232144334755
"176","L","X1",0.0219806230719456
"177","L","X2",0.0192218305468327
"178","L","X3",0.0183442224663116
"179","L","X4",0.0165915757868169
"180","L","X5",0.0139215800302861
"181","L","X7",0.0183747536667223
"182","L","X8",0.0151071218452811
"183","L","X1",0.021131495218143
"184","L","X2",0.0197883949069637
"185","L","X3",0.0190729822390486
"186","L","X4",0.0166350320283731
"187","L","X5",0.0141188625724166
"188","L","X7",0.0232184697735676
"189","L","X8",0.0109012617739569
"190","NE","X1",0.0195706358907172
"191","NE","X2",0.0182364628398305
"192","NE","X3",0.0153678239638047
"193","NE","X4",0.0158066974909462
"194","NE","X5",0.0151714598999938
"195","NE","X7",0.0195883618369337
"196","NE","X8",0.0144234197105354
"197","NE","X1",0.0214837409098878
"198","NE","X2",0.0176116564451966
"199","NE","X3",0.0163397509093313
"200","NE","X4",0.0154650175673998
"201","NE","X5",0.0158287513663222
"202","NE","X7",0.0179445982632058
"203","NE","X8",0.0149349923336561
"204","NE","X1",0.0339023014347478
"205","NE","X2",0.024355077504975
"206","NE","X3",0.0237298523349122
"207","NE","X4",0.0187805529359401
"208","NE","X5",0.0158390439270729
"209","NE","X7",0.0172845170561972
"210","NE","X8",0.0159714164603893
"211","NE","X1",0.0195956931576742
"212","NE","X2",0.0166359690568092
"213","NE","X3",0.0157430323730184
"214","NE","X4",0.0135735485917726
"215","NE","X5",0.01565385461285
"216","NE","X7",0.0150764960870475
"217","NE","X8",0.0146580147549688
"218","NE","X1",0.0242095291366547
"219","NE","X2",0.0190102429928385
"220","NE","X3",0.0159541852444566
"221","NE","X4",0.0177359777139018
"222","NE","X5",0.0157699468846603
"223","NE","X7",0.0216420159732163
"224","NE","X8",0.0187432207877861
"225","NE","X1",0.0188645391902852
"226","NE","X2",0.0183390602679433
"227","NE","X3",0.0150220008675658
"228","NE","X4",0.0134760436006178
"229","NE","X5",0.0136564273255639
"230","NE","X7",0.0182286991403881
"231","NE","X8",0.0139605041588984
"232","NE","X1",0.0213101192167047
"233","NE","X2",0.0165297584815339
"234","NE","X3",0.0198832474566753
"235","NE","X4",0.0165348283125455
"236","NE","X5",0.0134514060032244
"237","NE","X7",0.0165312092336321
"238","NE","X8",0.0135232144334755
"239","NE","X1",0.0219806230719456
"240","NE","X2",0.0192218305468327
"241","NE","X3",0.0183442224663116
"242","NE","X4",0.0165915757868169
"243","NE","X5",0.0139215800302861
"244","NE","X7",0.0183747536667223
"245","NE","X8",0.0151071218452811
"246","NE","X1",0.021131495218143
"247","NE","X2",0.0197883949069637
"248","NE","X3",0.0190729822390486
"249","NE","X4",0.0166350320283731
"250","NE","X5",0.0141188625724166
"251","NE","X7",0.0232184697735676
"252","NE","X8",0.0109012617739569
"253","NW","X1",0.0195706358907172
"254","NW","X2",0.0182364628398305
"255","NW","X3",0.0153678239638047
"256","NW","X4",0.0158066974909462
"257","NW","X5",0.0151714598999938
"258","NW","X7",0.0195883618369337
"259","NW","X8",0.0144234197105354
"260","NW","X1",0.0214837409098878
"261","NW","X2",0.0176116564451966
"262","NW","X3",0.0163397509093313
"263","NW","X4",0.0154650175673998
"264","NW","X5",0.0158287513663222
"265","NW","X7",0.0179445982632058
"266","NW","X8",0.0149349923336561
"267","NW","X1",0.0339023014347478
"268","NW","X2",0.024355077504975
"269","NW","X3",0.0237298523349122
"270","NW","X4",0.0187805529359401
"271","NW","X5",0.0158390439270729
"272","NW","X7",0.0172845170561972
"273","NW","X8",0.0159714164603893
"274","NW","X1",0.0195956931576742
"275","NW","X2",0.0166359690568092
"276","NW","X3",0.0157430323730184
"277","NW","X4",0.0135735485917726
"278","NW","X5",0.01565385461285
"279","NW","X7",0.0150764960870475
"280","NW","X8",0.0146580147549688
"281","NW","X1",0.0242095291366547
"282","NW","X2",0.0190102429928385
"283","NW","X3",0.0159541852444566
"284","NW","X4",0.0177359777139018
"285","NW","X5",0.0157699468846603
"286","NW","X7",0.0216420159732163
"287","NW","X8",0.0187432207877861
"288","NW","X1",0.0188645391902852
"289","NW","X2",0.0183390602679433
"290","NW","X3",0.0150220008675658
"291","NW","X4",0.0134760436006178
"292","NW","X5",0.0136564273255639
"293","NW","X7",0.0182286991403881
"294","NW","X8",0.0139605041588984
"295","NW","X1",0.0213101192167047
"296","NW","X2",0.0165297584815339
"297","NW","X3",0.0198832474566753
"298","NW","X4",0.0165348283125455
"299","NW","X5",0.0134514060032244
"300","NW","X7",0.0165312092336321
"301","NW","X8",0.0135232144334755
"302","NW","X1",0.0219806230719456
"303","NW","X2",0.0192218305468327
"304","NW","X3",0.0183442224663116
"305","NW","X4",0.0165915757868169
"306","NW","X5",0.0139215800302861
"307","NW","X7",0.0183747536667223
"308","NW","X8",0.0151071218452811
"309","NW","X1",0.021131495218143
"310","NW","X2",0.0197883949069637
"311","NW","X3",0.0190729822390486
"312","NW","X4",0.0166350320283731
"313","NW","X5",0.0141188625724166
"314","NW","X7",0.0232184697735676
"315","NW","X8",0.0109012617739569
"316","SE","X1",0.0195706358907172
"317","SE","X2",0.0182364628398305
"318","SE","X3",0.0153678239638047
"319","SE","X4",0.0158066974909462
"320","SE","X5",0.0151714598999938
"321","SE","X7",0.0195883618369337
"322","SE","X8",0.0144234197105354
"323","SE","X1",0.0214837409098878
"324","SE","X2",0.0176116564451966
"325","SE","X3",0.0163397509093313
"326","SE","X4",0.0154650175673998
"327","SE","X5",0.0158287513663222
"328","SE","X7",0.0179445982632058
"329","SE","X8",0.0149349923336561
"330","SE","X1",0.0339023014347478
"331","SE","X2",0.024355077504975
"332","SE","X3",0.0237298523349122
"333","SE","X4",0.0187805529359401
"334","SE","X5",0.0158390439270729
"335","SE","X7",0.0172845170561972
"336","SE","X8",0.0159714164603893
"337","SE","X1",0.0195956931576742
"338","SE","X2",0.0166359690568092
"339","SE","X3",0.0157430323730184
"340","SE","X4",0.0135735485917726
"341","SE","X5",0.01565385461285
"342","SE","X7",0.0150764960870475
"343","SE","X8",0.0146580147549688
"344","SE","X1",0.0242095291366547
"345","SE","X2",0.0190102429928385
"346","SE","X3",0.0159541852444566
"347","SE","X4",0.0177359777139018
"348","SE","X5",0.0157699468846603
"349","SE","X7",0.0216420159732163
"350","SE","X8",0.0187432207877861
"351","SE","X1",0.0188645391902852
"352","SE","X2",0.0183390602679433
"353","SE","X3",0.0150220008675658
"354","SE","X4",0.0134760436006178
"355","SE","X5",0.0136564273255639
"356","SE","X7",0.0182286991403881
"357","SE","X8",0.0139605041588984
"358","SE","X1",0.0213101192167047
"359","SE","X2",0.0165297584815339
"360","SE","X3",0.0198832474566753
"361","SE","X4",0.0165348283125455
"362","SE","X5",0.0134514060032244
"363","SE","X7",0.0165312092336321
"364","SE","X8",0.0135232144334755
"365","SE","X1",0.0219806230719456
"366","SE","X2",0.0192218305468327
"367","SE","X3",0.0183442224663116
"368","SE","X4",0.0165915757868169
"369","SE","X5",0.0139215800302861
"370","SE","X7",0.0183747536667223
"371","SE","X8",0.0151071218452811
"372","SE","X1",0.021131495218143
"373","SE","X2",0.0197883949069637
"374","SE","X3",0.0190729822390486
"375","SE","X4",0.0166350320283731
"376","SE","X5",0.0141188625724166
"377","SE","X7",0.0232184697735676
"378","SE","X8",0.0109012617739569
"379","SW","X1",0.0195706358907172
"380","SW","X2",0.0182364628398305
"381","SW","X3",0.0153678239638047
"382","SW","X4",0.0158066974909462
"383","SW","X5",0.0151714598999938
"384","SW","X7",0.0195883618369337
"385","SW","X8",0.0144234197105354
"386","SW","X1",0.0214837409098878
"387","SW","X2",0.0176116564451966
"388","SW","X3",0.0163397509093313
"389","SW","X4",0.0154650175673998
"390","SW","X5",0.0158287513663222
"391","SW","X7",0.0179445982632058
"392","SW","X8",0.0149349923336561
"393","SW","X1",0.0339023014347478
"394","SW","X2",0.024355077504975
"395","SW","X3",0.0237298523349122
"396","SW","X4",0.0187805529359401
"397","SW","X5",0.0158390439270729
"398","SW","X7",0.0172845170561972
"399","SW","X8",0.0159714164603893
"400","SW","X1",0.0195956931576742
"401","SW","X2",0.0166359690568092
"402","SW","X3",0.0157430323730184
"403","SW","X4",0.0135735485917726
"404","SW","X5",0.01565385461285
"405","SW","X7",0.0150764960870475
"406","SW","X8",0.0146580147549688
"407","SW","X1",0.0242095291366547
"408","SW","X2",0.0190102429928385
"409","SW","X3",0.0159541852444566
"410","SW","X4",0.0177359777139018
"411","SW","X5",0.0157699468846603
"412","SW","X7",0.0216420159732163
"413","SW","X8",0.0187432207877861
"414","SW","X1",0.0188645391902852
"415","SW","X2",0.0183390602679433
"416","SW","X3",0.0150220008675658
"417","SW","X4",0.0134760436006178
"418","SW","X5",0.0136564273255639
"419","SW","X7",0.0182286991403881
"420","SW","X8",0.0139605041588984
"421","SW","X1",0.0213101192167047
"422","SW","X2",0.0165297584815339
"423","SW","X3",0.0198832474566753
"424","SW","X4",0.0165348283125455
"425","SW","X5",0.0134514060032244
"426","SW","X7",0.0165312092336321
"427","SW","X8",0.0135232144334755
"428","SW","X1",0.0219806230719456
"429","SW","X2",0.0192218305468327
"430","SW","X3",0.0183442224663116
"431","SW","X4",0.0165915757868169
"432","SW","X5",0.0139215800302861
"433","SW","X7",0.0183747536667223
"434","SW","X8",0.0151071218452811
"435","SW","X1",0.021131495218143
"436","SW","X2",0.0197883949069637
"437","SW","X3",0.0190729822390486
"438","SW","X4",0.0166350320283731
"439","SW","X5",0.0141188625724166
"440","SW","X7",0.0232184697735676
"441","SW","X8",0.0109012617739569
"442","WM","X1",0.0195706358907172
"443","WM","X2",0.0182364628398305
"444","WM","X3",0.0153678239638047
"445","WM","X4",0.0158066974909462
"446","WM","X5",0.0151714598999938
"447","WM","X7",0.0195883618369337
"448","WM","X8",0.0144234197105354
"449","WM","X1",0.0214837409098878
"450","WM","X2",0.0176116564451966
"451","WM","X3",0.0163397509093313
"452","WM","X4",0.0154650175673998
"453","WM","X5",0.0158287513663222
"454","WM","X7",0.0179445982632058
"455","WM","X8",0.0149349923336561
"456","WM","X1",0.0339023014347478
"457","WM","X2",0.024355077504975
"458","WM","X3",0.0237298523349122
"459","WM","X4",0.0187805529359401
"460","WM","X5",0.0158390439270729
"461","WM","X7",0.0172845170561972
"462","WM","X8",0.0159714164603893
"463","WM","X1",0.0195956931576742
"464","WM","X2",0.0166359690568092
"465","WM","X3",0.0157430323730184
"466","WM","X4",0.0135735485917726
"467","WM","X5",0.01565385461285
"468","WM","X7",0.0150764960870475
"469","WM","X8",0.0146580147549688
"470","WM","X1",0.0242095291366547
"471","WM","X2",0.0190102429928385
"472","WM","X3",0.0159541852444566
"473","WM","X4",0.0177359777139018
"474","WM","X5",0.0157699468846603
"475","WM","X7",0.0216420159732163
"476","WM","X8",0.0187432207877861
"477","WM","X1",0.0188645391902852
"478","WM","X2",0.0183390602679433
"479","WM","X3",0.0150220008675658
"480","WM","X4",0.0134760436006178
"481","WM","X5",0.0136564273255639
"482","WM","X7",0.0182286991403881
"483","WM","X8",0.0139605041588984
"484","WM","X1",0.0213101192167047
"485","WM","X2",0.0165297584815339
"486","WM","X3",0.0198832474566753
"487","WM","X4",0.0165348283125455
"488","WM","X5",0.0134514060032244
"489","WM","X7",0.0165312092336321
"490","WM","X8",0.0135232144334755
"491","WM","X1",0.0219806230719456
"492","WM","X2",0.0192218305468327
"493","WM","X3",0.0183442224663116
"494","WM","X4",0.0165915757868169
"495","WM","X5",0.0139215800302861
"496","WM","X7",0.0183747536667223
"497","WM","X8",0.0151071218452811
"498","WM","X1",0.021131495218143
"499","WM","X2",0.0197883949069637
"500","WM","X3",0.0190729822390486
"501","WM","X4",0.0166350320283731
"502","WM","X5",0.0141188625724166
"503","WM","X7",0.0232184697735676
"504","WM","X8",0.0109012617739569
"505","YH","X1",0.0195706358907172
"506","YH","X2",0.0182364628398305
"507","YH","X3",0.0153678239638047
"508","YH","X4",0.0158066974909462
"509","YH","X5",0.0151714598999938
"510","YH","X7",0.0195883618369337
"511","YH","X8",0.0144234197105354
"512","YH","X1",0.0214837409098878
"513","YH","X2",0.0176116564451966
"514","YH","X3",0.0163397509093313
"515","YH","X4",0.0154650175673998
"516","YH","X5",0.0158287513663222
"517","YH","X7",0.0179445982632058
"518","YH","X8",0.0149349923336561
"519","YH","X1",0.0339023014347478
"520","YH","X2",0.024355077504975
"521","YH","X3",0.0237298523349122
"522","YH","X4",0.0187805529359401
"523","YH","X5",0.0158390439270729
"524","YH","X7",0.0172845170561972
"525","YH","X8",0.0159714164603893
"526","YH","X1",0.0195956931576742
"527","YH","X2",0.0166359690568092
"528","YH","X3",0.0157430323730184
"529","YH","X4",0.0135735485917726
"530","YH","X5",0.01565385461285
"531","YH","X7",0.0150764960870475
"532","YH","X8",0.0146580147549688
"533","YH","X1",0.0242095291366547
"534","YH","X2",0.0190102429928385
"535","YH","X3",0.0159541852444566
"536","YH","X4",0.0177359777139018
"537","YH","X5",0.0157699468846603
"538","YH","X7",0.0216420159732163
"539","YH","X8",0.0187432207877861
"540","YH","X1",0.0188645391902852
"541","YH","X2",0.0183390602679433
"542","YH","X3",0.0150220008675658
"543","YH","X4",0.0134760436006178
"544","YH","X5",0.0136564273255639
"545","YH","X7",0.0182286991403881
"546","YH","X8",0.0139605041588984
"547","YH","X1",0.0213101192167047
"548","YH","X2",0.0165297584815339
"549","YH","X3",0.0198832474566753
"550","YH","X4",0.0165348283125455
"551","YH","X5",0.0134514060032244
"552","YH","X7",0.0165312092336321
"553","YH","X8",0.0135232144334755
"554","YH","X1",0.0219806230719456
"555","YH","X2",0.0192218305468327
"556","YH","X3",0.0183442224663116
"557","YH","X4",0.0165915757868169
"558","YH","X5",0.0139215800302861
"559","YH","X7",0.0183747536667223
"560","YH","X8",0.0151071218452811
"561","YH","X1",0.021131495218143
"562","YH","X2",0.0197883949069637
"563","YH","X3",0.0190729822390486
"564","YH","X4",0.0166350320283731
"565","YH","X5",0.0141188625724166
"566","YH","X7",0.0232184697735676
"567","YH","X8",0.0109012617739569
